model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_prior_MAGXTS.pt,14,15,15,5,1,0.07644,0.00039,0.15016039999999997
dwconv-bn-relu_prior_1V0U3H.pt,7,156,156,3,1,0.07644,0.00156,0.15837502
dwconv-bn-relu_prior_EXVQNJ.pt,14,157,157,3,2,0.07693,0.00157,0.14975582
dwconv-bn-relu_prior_MWEDT3.pt,7,61,61,5,1,0.077714,0.001586,0.1481019
dwconv-bn-relu_prior_SUGCIP.pt,7,159,159,3,1,0.07791,0.00159,0.14947100000000005
dwconv-bn-relu_prior_U8GKGA.pt,7,159,159,3,1,0.07791,0.00159,0.15857256000000003
dwconv-bn-relu_prior_FTT371.pt,14,161,161,3,2,0.07889,0.00161,0.1477074
dwconv-bn-relu_prior_FNQ5QS.pt,7,162,162,3,1,0.07938,0.00162,0.19256337999999995
dwconv-bn-relu_prior_BWL134.pt,7,162,162,3,1,0.07938,0.00162,0.12591169999999996
dwconv-bn-relu_prior_PZVM1K.pt,7,162,162,3,1,0.07938,0.00162,0.12155472000000003
dwconv-bn-relu_prior_OYJWBD.pt,7,163,163,3,1,0.07987,0.00163,0.13347030000000004
dwconv-bn-relu_prior_WP1HVH.pt,7,163,163,3,1,0.07987,0.00163,0.1420693
dwconv-bn-relu_prior_NS4ZAQ.pt,7,163,163,3,1,0.07987,0.00163,0.18536248
dwconv-bn-relu_prior_GA2XDB.pt,14,63,63,5,2,0.080262,0.001638,0.14406955999999999
dwconv-bn-relu_prior_EIQ57G.pt,14,41,41,3,1,0.08036,0.00041,0.13275934
dwconv-bn-relu_prior_ROY3WG.pt,7,164,164,3,1,0.08036,0.00164,0.14032646
dwconv-bn-relu_prior_LCA9CA.pt,7,165,165,3,1,0.08085,0.00165,0.14420297999999998
dwconv-bn-relu_prior_Q8TWN6.pt,7,165,165,3,1,0.08085,0.00165,0.14456491999999999
dwconv-bn-relu_prior_5JRXYH.pt,7,166,166,3,1,0.08134,0.00166,0.15790698000000003
dwconv-bn-relu_prior_3HOLJN.pt,14,166,166,3,2,0.08134,0.00166,0.13059582
dwconv-bn-relu_prior_8OQM3D.pt,7,166,166,3,1,0.08134,0.00166,0.13100612000000006
dwconv-bn-relu_prior_BU65RE.pt,14,16,16,5,1,0.081536,0.000416,0.16570042000000007
dwconv-bn-relu_prior_4YOISC.pt,7,167,167,3,1,0.08183,0.00167,0.16114185999999997
dwconv-bn-relu_prior_9REDRX.pt,14,42,42,3,1,0.08232,0.00042,0.11383658
dwconv-bn-relu_prior_KCET44.pt,7,168,168,3,1,0.08232,0.00168,0.11986512000000005
dwconv-bn-relu_prior_K3VXHZ.pt,14,168,168,3,2,0.08232,0.00168,0.12150169999999999
dwconv-bn-relu_prior_SVHQMQ.pt,7,169,169,3,1,0.08281,0.00169,0.12834100000000004
dwconv-bn-relu_prior_K0TWQG.pt,7,169,169,3,1,0.08281,0.00169,0.12628412
dwconv-bn-relu_prior_858NPZ.pt,14,170,170,3,2,0.0833,0.0017,0.12477127999999998
dwconv-bn-relu_prior_L7STF5.pt,7,34,34,7,1,0.0833,0.0017,0.24136053999999996
dwconv-bn-relu_prior_R3GM6G.pt,7,171,171,3,1,0.08379,0.00171,0.16766394
dwconv-bn-relu_prior_AEKI6P.pt,7,66,66,5,1,0.084084,0.001716,0.17797083999999994
dwconv-bn-relu_prior_VKRVQC.pt,7,172,172,3,1,0.08428,0.00172,0.1442465
dwconv-bn-relu_prior_O5Z07T.pt,7,173,173,3,1,0.08477,0.00173,0.27968652
dwconv-bn-relu_prior_XJQ2QG.pt,7,175,175,3,1,0.08575,0.00175,0.17900610000000008
dwconv-bn-relu_prior_AUVCTY.pt,28,11,11,3,1,0.08624,0.00011,0.12040714
dwconv-bn-relu_prior_XAA71O.pt,7,68,68,5,1,0.086632,0.001768,0.14241448000000004
dwconv-bn-relu_prior_LQNK3N.pt,7,177,177,3,1,0.08673,0.00177,0.15512052000000007
dwconv-bn-relu_prior_M9ICPQ.pt,7,177,177,3,1,0.08673,0.00177,0.12761570000000003
dwconv-bn-relu_prior_GPMQCB.pt,7,178,178,3,1,0.08722,0.00178,0.12651566
dwconv-bn-relu_prior_9TLPF1.pt,7,178,178,3,1,0.08722,0.00178,0.31050336
dwconv-bn-relu_prior_NO8TDY.pt,7,179,179,3,1,0.08771,0.00179,0.21239083999999997
dwconv-bn-relu_prior_FLESOE.pt,7,179,179,3,1,0.08771,0.00179,0.1617743
dwconv-bn-relu_prior_5DD62H.pt,7,179,179,3,1,0.08771,0.00179,0.12990722000000005
dwconv-bn-relu_prior_5X6PSE.pt,7,69,69,5,1,0.087906,0.001794,0.15331535999999998
dwconv-bn-relu_prior_FU7HJN.pt,7,69,69,5,1,0.087906,0.001794,0.17118007999999998
dwconv-bn-relu_prior_I1X3S4.pt,14,45,45,3,1,0.0882,0.00045,0.13765973999999997
dwconv-bn-relu_prior_4A0KRY.pt,14,45,45,3,1,0.0882,0.00045,0.13684108
dwconv-bn-relu_prior_XCZXAD.pt,7,180,180,3,1,0.0882,0.0018,0.15362334
dwconv-bn-relu_prior_953OZ0.pt,14,182,182,3,2,0.08918,0.00182,0.1173184
dwconv-bn-relu_prior_QBO3BL.pt,7,182,182,3,1,0.08918,0.00182,0.14718537999999998
dwconv-bn-relu_prior_NY6E29.pt,7,71,71,5,1,0.090454,0.001846,0.14137090000000002
dwconv-bn-relu_prior_OM9VEX.pt,7,185,185,3,1,0.09065,0.00185,0.5167661600000001
dwconv-bn-relu_prior_FPWZ36.pt,7,186,186,3,1,0.09114,0.00186,0.14691483999999996
dwconv-bn-relu_prior_KAXF8M.pt,7,187,187,3,1,0.09163,0.00187,0.14724056000000002
dwconv-bn-relu_prior_MFEB7L.pt,14,47,47,3,1,0.09212,0.00047,0.14081414
dwconv-bn-relu_prior_2ALIHX.pt,7,73,73,5,1,0.093002,0.001898,0.16374056
dwconv-bn-relu_prior_7B1ZCX.pt,14,48,48,3,1,0.09408,0.00048,0.15466572
dwconv-bn-relu_prior_ZVNYK1.pt,14,39,39,7,2,0.09555,0.00195,0.16841991999999997
dwconv-bn-relu_prior_XVB2FX.pt,14,49,49,3,1,0.09604,0.00049,0.11931763999999999
dwconv-bn-relu_prior_IZCDGF.pt,14,49,49,3,1,0.09604,0.00049,0.15171256000000002
dwconv-bn-relu_prior_N11ALE.pt,14,49,49,3,1,0.09604,0.00049,0.14822429999999998
dwconv-bn-relu_prior_XUUKGX.pt,14,19,19,5,1,0.096824,0.000494,0.13422148
dwconv-bn-relu_prior_FBOEWF.pt,14,50,50,3,1,0.098,0.0005,0.13908749999999998
dwconv-bn-relu_prior_AF0JWV.pt,14,50,50,3,1,0.098,0.0005,0.14503960000000002
dwconv-bn-relu_prior_5LJDDK.pt,7,77,77,5,1,0.098098,0.002002,0.14507267999999998
dwconv-bn-relu_prior_017T8S.pt,7,78,78,5,1,0.099372,0.002028,0.14877502
dwconv-bn-relu_prior_EJKXBX.pt,14,51,51,3,1,0.09996,0.00051,0.14490104000000004
dwconv-bn-relu_prior_99W1MM.pt,14,51,51,3,1,0.09996,0.00051,0.13914294
dwconv-bn-relu_prior_DLX9S9.pt,14,52,52,3,1,0.10192,0.00052,0.13751316000000002
dwconv-bn-relu_prior_Q3E7ZV.pt,28,20,20,5,2,0.10192,0.00052,0.12316974
dwconv-bn-relu_prior_1BUQUB.pt,14,52,52,3,1,0.10192,0.00052,0.12327608000000004
dwconv-bn-relu_prior_DELN8N.pt,14,81,81,5,2,0.103194,0.002106,0.2767425600000001
