model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
maxpool_prior_L2VZEW.pt,112,51,51,3,2,0.9216670799999997
maxpool_prior_7LMTFY.pt,28,242,242,2,2,0.3585838000000001
maxpool_prior_R0QWWF.pt,14,848,848,2,1,1.3437479
maxpool_prior_ZVPNL9.pt,112,235,235,2,2,1.5745782400000001
maxpool_prior_Z1HW51.pt,112,503,503,3,2,4.684432759999999
maxpool_prior_RU753H.pt,224,81,81,2,1,7.5367830399999995
maxpool_prior_I92XYM.pt,112,503,503,3,2,4.608684280000001
maxpool_prior_UKJ6YY.pt,28,492,492,2,2,0.8517501799999999
maxpool_prior_CVXU3E.pt,14,73,73,3,2,0.07597795999999998
maxpool_prior_CDGRDN.pt,14,75,75,3,2,0.10176797999999998
maxpool_prior_Y87ZW7.pt,112,91,91,3,2,1.5066430199999992
maxpool_prior_88UAIN.pt,28,469,469,2,1,1.4335872799999998
maxpool_prior_5GRUTB.pt,224,235,235,2,2,5.990934420000001
maxpool_prior_YHAPR6.pt,56,94,94,2,2,0.63182994
maxpool_prior_AHXEMK.pt,112,495,495,2,2,3.165365959999999
maxpool_prior_O92BFP.pt,56,137,137,2,1,1.4628152599999995
maxpool_prior_GDBBBA.pt,14,241,241,3,2,0.038602439999999995
maxpool_prior_F3CR9D.pt,14,237,237,2,2,0.12358496000000001
maxpool_prior_VE2EUV.pt,112,54,54,3,2,0.89902968
maxpool_prior_SF620P.pt,14,139,139,3,2,0.11669672
maxpool_prior_GBH2FW.pt,112,143,143,3,2,1.8083744399999995
maxpool_prior_A2CJAF.pt,56,69,69,2,2,0.5161963
maxpool_prior_1PRVFZ.pt,112,134,134,3,2,1.5733302799999997
maxpool_prior_UUQBDM.pt,14,492,492,3,1,1.1607599199999996
maxpool_prior_R72RAN.pt,14,70,70,3,2,0.11422851999999999
maxpool_prior_WZ71IL.pt,56,1044,1044,3,2,2.4158502
maxpool_prior_X0MANX.pt,112,481,481,2,2,3.0311568600000003
maxpool_prior_08272N.pt,14,72,72,2,2,0.09175138
maxpool_prior_0HTUGR.pt,56,508,508,3,2,1.5931331800000001
maxpool_prior_TWP1TG.pt,28,54,54,2,2,0.1283755
maxpool_prior_9RT1XZ.pt,56,844,844,3,2,2.4536837199999995
maxpool_prior_IZ4VHE.pt,14,131,131,2,2,0.10427844000000003
maxpool_prior_XTVQPE.pt,14,497,497,2,2,0.19324258000000005
maxpool_prior_WFK2VH.pt,14,494,494,3,2,0.36904482000000016
maxpool_prior_8ER3D8.pt,112,499,499,3,2,4.78051644
maxpool_prior_R604UT.pt,112,230,230,3,1,7.581761439999999
maxpool_prior_AJIBYW.pt,112,233,233,2,2,1.5853219199999997
maxpool_prior_X4CWJP.pt,14,145,145,3,1,0.3767630599999998
maxpool_prior_806NNO.pt,28,492,492,2,2,0.8833818
maxpool_prior_U4OZES.pt,112,237,237,3,2,2.1362921399999992
maxpool_prior_JH553M.pt,112,71,71,2,2,1.0081497800000003
maxpool_prior_WZJHS5.pt,14,244,244,2,2,0.12860166
maxpool_prior_PROKAQ.pt,14,367,367,2,2,0.21016531999999993
maxpool_prior_ZF0RPC.pt,56,360,360,3,2,1.3655330999999997
maxpool_prior_LDRDMW.pt,56,503,503,3,2,1.7435911400000004
maxpool_prior_XOF9AH.pt,14,84,84,2,2,0.12274214000000003
maxpool_prior_YRXP1O.pt,28,494,494,3,2,1.2313449600000004
maxpool_prior_7JER96.pt,28,492,492,3,2,1.3256226400000002
maxpool_prior_7PD3L1.pt,56,835,835,2,2,1.50512422
maxpool_prior_3D2S1G.pt,112,233,233,2,2,1.7841306800000003
maxpool_prior_KN1DUW.pt,14,502,502,3,2,0.32205458
maxpool_prior_W8EAXB.pt,14,495,495,2,2,0.2369904
maxpool_prior_C7GML2.pt,28,77,77,2,2,0.13956146
maxpool_prior_E5GU6B.pt,14,498,498,2,2,0.28057457999999996
maxpool_prior_YRWL4I.pt,14,135,135,3,2,0.16439510000000002
maxpool_prior_PLBYRJ.pt,14,489,489,2,2,0.24085278000000007
maxpool_prior_EPXDOJ.pt,14,46,46,3,2,0.08976450000000001
maxpool_prior_79YE12.pt,14,838,838,2,1,1.21231344
maxpool_prior_CM9NYT.pt,56,499,499,3,2,1.56803954
maxpool_prior_ZJMVHF.pt,14,201,201,3,2,0.14035002
maxpool_prior_4NVYNB.pt,14,839,839,3,2,0.5787852799999998
maxpool_prior_SPYLAA.pt,112,511,511,3,2,4.50322318
maxpool_prior_2OI2D4.pt,28,511,511,2,1,1.5136880400000003
maxpool_prior_BNCXVD.pt,112,535,535,3,1,19.331586
maxpool_prior_52VFBR.pt,56,512,512,3,2,1.7396272000000008
maxpool_prior_WAZFG4.pt,14,507,507,2,2,0.22818959999999996
maxpool_prior_3G3JQZ.pt,14,60,60,2,2,0.016269540000000002
maxpool_prior_LVLZ8C.pt,56,181,181,3,2,1.1842139600000003
maxpool_prior_3U9DEG.pt,14,52,52,2,2,0.08923061999999997
maxpool_prior_TWIJCT.pt,112,146,146,2,2,1.2585481600000001
maxpool_prior_2B6SIB.pt,112,534,534,2,2,3.3570035399999996
maxpool_prior_9YL2FO.pt,224,511,511,3,2,19.6286171
maxpool_prior_G06RJ6.pt,112,492,492,2,2,3.6820230000000005
maxpool_prior_1J6W1C.pt,28,511,511,2,1,2.30951576
maxpool_prior_SW6C1S.pt,28,70,70,3,2,0.17815331999999998
maxpool_prior_EEM6UX.pt,56,235,235,3,1,1.9311268199999996
maxpool_prior_QV3O6R.pt,14,504,504,2,2,0.27393708000000005
maxpool_prior_15NHSL.pt,224,504,504,3,2,19.542619719999994
maxpool_prior_MBIUO5.pt,224,509,509,2,1,55.12172168000001
maxpool_prior_ZUDLQ5.pt,28,499,499,3,2,1.2651988399999998
maxpool_prior_PR7QOB.pt,56,485,485,2,2,1.6080295000000004
maxpool_prior_WPVH1E.pt,14,838,838,3,2,0.7734090399999998
maxpool_prior_PGF3Z8.pt,28,240,240,2,1,1.31776508
maxpool_prior_F4XXK7.pt,28,141,141,2,2,0.20466762000000002
maxpool_prior_HG9N3A.pt,28,200,200,2,2,0.33187818
maxpool_prior_X827EY.pt,28,135,135,2,2,0.20805078
maxpool_prior_TZEFGN.pt,112,506,506,3,2,4.87463764
maxpool_prior_KQMCO1.pt,112,38,38,3,2,0.9705629599999998
maxpool_prior_CIO25P.pt,28,52,52,3,1,0.48342927999999985
maxpool_prior_PITS8V.pt,112,507,507,3,2,4.65895362
maxpool_prior_B3ZQWC.pt,56,86,86,3,2,0.9721353200000001
maxpool_prior_AXMHFD.pt,28,527,527,3,2,1.2822461
maxpool_prior_LNNN1I.pt,56,134,134,2,2,0.92265692
maxpool_prior_885MPL.pt,14,492,492,2,2,0.18490811999999995
maxpool_prior_7SO6NX.pt,56,488,488,3,2,1.8878016199999996
maxpool_prior_OKTLU2.pt,14,251,251,2,1,0.3674301200000001
maxpool_prior_U6MBFR.pt,112,846,846,3,2,7.6212819000000005
maxpool_prior_C1ZWG1.pt,28,235,235,3,2,0.5818191199999999
maxpool_prior_CHSCGA.pt,28,55,55,3,2,0.15462944
maxpool_prior_SB6DZG.pt,56,500,500,2,2,1.73639804
maxpool_prior_ZP7U4U.pt,28,182,182,2,1,1.0387013599999997
maxpool_prior_5PGVQL.pt,28,66,66,2,2,0.15189031999999997
