model_path,HW,CIN1,CIN2,CIN3,CIN4,latency
concat_prior_CDVAUI.pt,7,254,809,0,0,0.10668633999999998
concat_prior_0VFTAN.pt,14,249,176,248,224,0.22716710000000007
concat_prior_63UBYE.pt,14,4,18,272,0,0.09736097999999997
concat_prior_9GCOZA.pt,56,417,187,108,995,1.29444952
concat_prior_RHI3J9.pt,14,1004,90,974,178,0.18530119999999997
concat_prior_FXLM69.pt,14,114,185,0,0,0.08667309999999999
concat_prior_ZK5107.pt,28,23,245,323,384,0.23684652000000006
concat_prior_8JBIRW.pt,7,27,128,166,126,0.00471172
concat_prior_S502ND.pt,7,255,528,0,0,0.0110493
concat_prior_XIJ5XP.pt,14,68,97,75,200,0.1384982
concat_prior_R95IOU.pt,28,928,93,98,0,0.30416071999999994
concat_prior_2JXICR.pt,7,168,1010,0,0,0.09121552
concat_prior_4YZV8O.pt,28,575,443,0,0,0.28930737999999995
concat_prior_UHJ7IY.pt,14,762,132,188,0,0.038134379999999996
concat_prior_7R9PTS.pt,14,10,498,829,0,0.23336461999999997
concat_prior_CZUZSL.pt,7,944,162,0,0,0.10951184000000001
concat_prior_3PVRSV.pt,56,61,148,139,150,0.30534108000000004
concat_prior_E0DLQG.pt,28,144,107,0,0,0.18256589999999992
concat_prior_7CBZFG.pt,56,795,805,91,225,1.6679804200000001
concat_prior_ZJRQ2C.pt,28,10,236,0,0,0.14652008000000005
concat_prior_KOJDQB.pt,7,65,1154,541,77,0.14111036000000005
concat_prior_2W2ZIV.pt,28,475,165,441,1115,0.48922894
concat_prior_M947WB.pt,28,489,20,453,414,0.26053206
concat_prior_53O17M.pt,28,215,171,491,47,0.14255785999999998
concat_prior_SIZ2H0.pt,56,529,6,104,0,0.46138572000000005
concat_prior_P9R17U.pt,7,38,33,189,992,0.13314598
concat_prior_SC6L45.pt,56,848,13,207,203,1.0139917600000004
concat_prior_TLLZ2Z.pt,14,134,15,0,0,0.004604519999999998
concat_prior_ZB1FW1.pt,14,1004,626,1010,0,0.2114381
concat_prior_MU27TA.pt,28,50,1022,109,66,0.2671372
concat_prior_10H942.pt,7,109,140,0,0,0.014727539999999999
concat_prior_MA0HMD.pt,14,86,47,25,1884,0.14370966000000002
concat_prior_57DD9V.pt,14,5,217,0,0,0.10624595999999999
concat_prior_IZIJ7S.pt,56,152,91,0,0,0.36505556000000006
concat_prior_UPTPFA.pt,28,5,1018,0,0,0.20890525999999998
concat_prior_46J48G.pt,28,11,952,0,0,0.19277629999999996
concat_prior_F8AXL9.pt,7,10,1685,0,0,0.12325866000000003
concat_prior_4I4RQR.pt,7,1892,178,53,14,0.15366814
concat_prior_MDFELY.pt,14,789,78,199,103,0.2549491799999999
concat_prior_Z05D4D.pt,14,533,215,487,100,0.23407040000000012
concat_prior_FRDTBM.pt,56,1165,449,0,0,1.2762974
concat_prior_APG2CL.pt,14,106,144,52,0,0.015244939999999995
concat_prior_US93MA.pt,14,173,159,0,0,0.13606478
concat_prior_NL062G.pt,7,1688,985,204,89,0.20457149999999996
concat_prior_ZVP1PF.pt,28,984,199,0,0,0.30993238
concat_prior_NJ5FKP.pt,7,74,234,0,0,0.005660099999999997
concat_prior_26ZOF8.pt,7,858,269,0,0,0.11100206000000004
concat_prior_X86YU9.pt,28,178,67,538,0,0.2649283599999999
concat_prior_IGSWRF.pt,14,348,1010,0,0,0.22027454000000002
concat_prior_B15ORJ.pt,28,522,564,0,0,0.3425816
concat_prior_S3WO44.pt,56,986,125,969,0,1.7097794399999997
concat_prior_9WAP4T.pt,14,1954,64,260,70,0.20916753999999999
concat_prior_XTFH6R.pt,14,7,173,837,0,0.16678879999999996
concat_prior_SLZJ3Z.pt,56,47,195,76,182,0.5244343
concat_prior_S2WU08.pt,14,188,203,1639,256,0.18937756
concat_prior_C8ROGS.pt,28,90,159,0,0,0.18747682000000002
concat_prior_SYS51K.pt,7,251,42,499,138,0.01461306
concat_prior_DMPSPV.pt,7,136,197,245,468,0.017028360000000003
concat_prior_4H09Y7.pt,14,102,209,0,0,0.09030736
concat_prior_BOHA49.pt,28,163,25,149,0,0.20322864
concat_prior_T7OXEC.pt,28,462,410,78,202,0.24524185999999992
concat_prior_4QM1CM.pt,56,226,830,216,0,0.9273157599999999
concat_prior_64Y10R.pt,7,460,172,41,0,0.008592639999999997
concat_prior_MRRUE3.pt,28,22,49,237,0,0.03976584
concat_prior_WNRXDU.pt,14,201,84,0,0,0.13811934
concat_prior_ME6IDQ.pt,14,119,209,0,0,0.09101369999999998
concat_prior_OLSH71.pt,28,39,162,0,0,0.14847028
concat_prior_65Y35S.pt,14,5,161,0,0,0.00509766
concat_prior_J1CPU6.pt,14,666,2046,0,0,0.21512815999999998
concat_prior_7YXIDB.pt,14,154,103,214,0,0.1294359
concat_prior_DCEAYX.pt,7,22,75,0,0,0.016220079999999998
concat_prior_EYZ8Z5.pt,14,266,2050,125,1668,0.21353609999999995
concat_prior_JZUKPP.pt,14,257,262,494,44,0.19857934000000005
concat_prior_V3HME4.pt,56,398,508,219,324,1.00202386
concat_prior_CW6WEJ.pt,14,1594,199,148,0,0.25340618000000004
concat_prior_R1SX94.pt,14,519,1167,0,0,0.19476676
concat_prior_81CG45.pt,7,500,103,47,45,0.008878700000000002
concat_prior_2J8EYQ.pt,7,114,119,231,103,0.00504034
concat_prior_X2RTM3.pt,56,862,155,0,0,0.6874064399999998
concat_prior_X09KII.pt,7,8,268,795,0,0.10885804
concat_prior_0CUTH8.pt,28,59,204,1010,99,0.30003682000000004
concat_prior_UETRPV.pt,28,535,258,849,157,0.34737390000000007
concat_prior_XD3RIB.pt,14,268,50,0,0,0.10110975999999998
concat_prior_83VPO0.pt,14,151,16,535,0,0.15361108
concat_prior_PHPJM1.pt,7,362,938,31,187,0.12310524000000003
concat_prior_OFYLHC.pt,14,24,20,0,0,0.014082439999999998
concat_prior_GVX5M8.pt,28,251,109,199,88,0.39675414
concat_prior_MSKUUV.pt,14,492,262,0,0,0.17049135999999993
concat_prior_LWRX2Y.pt,14,934,117,36,625,0.19196027999999987
concat_prior_V3QPJP.pt,7,74,999,272,0,0.11330354
concat_prior_9AJOID.pt,14,530,1149,189,251,0.22613545999999993
concat_prior_4S5ZH5.pt,28,484,5,1987,537,0.5241966000000001
concat_prior_LTNWFU.pt,28,1008,243,0,0,0.25402330000000006
concat_prior_2QTNVB.pt,56,1291,1007,133,676,3.0568032799999996
concat_prior_J2XYVH.pt,14,175,10,119,0,0.15295258
concat_prior_VBDQ50.pt,14,1961,135,141,64,0.22055096000000002
concat_prior_3ZJ1CQ.pt,56,48,196,32,0,0.27410215999999993
concat_prior_8CF6QT.pt,14,66,1010,0,0,0.13052202
concat_prior_JJMPVP.pt,14,57,71,16,0,0.006297000000000001
concat_prior_S4GEX4.pt,14,556,529,0,0,0.23789448
concat_prior_E876WZ.pt,14,206,426,0,0,0.18055458000000002
concat_prior_M30VKI.pt,7,170,762,151,269,0.12661424
concat_prior_W4C1AB.pt,14,112,509,182,110,0.19437126
concat_prior_Y3XYU5.pt,56,264,221,36,494,0.4281498000000001
concat_prior_MWQD3R.pt,28,71,34,0,0,0.11496642
concat_prior_SMRI94.pt,14,802,232,102,267,0.24165496
concat_prior_48C6Z8.pt,7,207,14,0,0,0.011647320000000008
concat_prior_A93193.pt,7,201,62,539,232,0.012094860000000002
concat_prior_F9IM1J.pt,14,137,675,0,0,0.1311044
concat_prior_HVCX7M.pt,14,157,206,0,0,0.10790608
concat_prior_TFW7GD.pt,28,151,269,0,0,0.25438589999999994
concat_prior_9FD96J.pt,7,388,497,0,0,0.009319720000000004
