model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
avgpool_prior_SV046P.pt,56,63,63,2,2,0.24375930000000004
avgpool_prior_186K76.pt,14,58,58,2,2,0.08457884000000003
avgpool_prior_24LRKO.pt,224,194,194,2,1,8.507323939999997
avgpool_prior_DQTF6W.pt,14,382,382,3,2,0.14755797999999998
avgpool_prior_D521GM.pt,14,184,184,2,2,0.10663594
avgpool_prior_3COHQY.pt,14,138,138,3,2,0.09896106000000003
avgpool_prior_FDTX6F.pt,112,488,488,3,2,1.7712008200000005
avgpool_prior_2D9ZJZ.pt,112,826,826,3,1,9.909877000000002
avgpool_prior_12PZ9D.pt,14,239,239,3,2,0.16518366
avgpool_prior_YTPSGD.pt,28,185,185,3,2,0.24407334000000003
avgpool_prior_P279FN.pt,28,58,58,3,2,0.17338255999999996
avgpool_prior_XW28RP.pt,112,142,142,2,2,1.2261331799999997
avgpool_prior_4CAO06.pt,28,74,74,3,2,0.11219024
avgpool_prior_ORU43Z.pt,56,252,252,2,2,0.9939069400000001
avgpool_prior_7IXRTI.pt,224,147,147,3,2,2.2305893200000004
avgpool_prior_OKK0GQ.pt,14,249,249,3,2,0.12020457999999999
avgpool_prior_UDIJNE.pt,112,844,844,2,2,2.3649730399999997
avgpool_prior_KO6VNK.pt,112,52,52,2,2,0.7058378999999998
avgpool_prior_5R1HAQ.pt,56,48,48,3,1,0.8334928999999999
avgpool_prior_KEP33R.pt,112,142,142,3,1,1.6311926199999993
avgpool_prior_FBOD64.pt,14,61,61,2,2,0.10234508
avgpool_prior_IUBAN0.pt,56,1048,1048,2,2,1.2733274199999998
avgpool_prior_ZBKPD4.pt,112,65,65,3,2,1.1294419000000004
avgpool_prior_JRDZWG.pt,56,59,59,3,2,0.26700948
avgpool_prior_4UKDRZ.pt,112,234,234,3,2,1.42265076
avgpool_prior_DOQQSO.pt,112,72,72,2,2,0.83867194
avgpool_prior_VHL8L2.pt,14,474,474,2,2,0.15314472000000004
avgpool_prior_37OFAV.pt,112,381,381,3,2,1.4323962799999996
avgpool_prior_KOUWSM.pt,28,251,251,2,2,0.24771021999999995
