model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_prior_F58L6Y.pt,28,13,130,1,2,0.35672,0.00182,0.12735699999999997
conv-bn-relu_prior_TAQW3P.pt,13,58,36,1,1,0.358956,0.002124,0.22276528000000004
conv-bn-relu_prior_TGTOK4.pt,27,14,134,1,2,0.3663225,0.00201,0.060579100000000004
conv-bn-relu_prior_S1ZF4P.pt,3,266,17,3,1,0.366435,0.040715,0.10506487999999999
conv-bn-relu_prior_AA38BB.pt,8,132,173,1,2,0.368144,0.023009,0.10901158000000002
conv-bn-relu_prior_W1PDJ3.pt,28,9,188,1,2,0.36848,0.00188,0.26660515999999995
conv-bn-relu_prior_V8PK2F.pt,8,77,74,1,1,0.369408,0.005772,0.16343034000000004
conv-bn-relu_prior_T8PC00.pt,8,87,66,1,1,0.371712,0.005808,0.09419995999999996
conv-bn-relu_prior_PFQNBD.pt,8,5,978,1,1,0.375552,0.005868,0.29860481999999994
conv-bn-relu_prior_XWRV7T.pt,28,23,20,1,1,0.37632,0.00048,0.11064337999999997
conv-bn-relu_prior_0D6PIV.pt,8,526,45,1,2,0.37944,0.023715,0.1391015
conv-bn-relu_prior_OLXRMU.pt,7,128,62,1,1,0.391902,0.007998,0.09649804000000003
conv-bn-relu_prior_33871O.pt,7,40,8,5,1,0.392392,0.008008,0.53502862
conv-bn-relu_prior_UO56FN.pt,27,26,80,1,2,0.39366,0.00216,0.2940953799999999
conv-bn-relu_prior_FCRDDR.pt,7,186,43,1,1,0.394009,0.008041,0.10175382000000001
conv-bn-relu_prior_4BY795.pt,28,14,34,1,1,0.39984,0.00051,0.1150641
conv-bn-relu_prior_TRM0B6.pt,3,90,79,5,2,0.40011525,0.177829,0.16035504
conv-bn-relu_prior_688UYR.pt,27,21,101,1,2,0.4049595,0.002222,0.12228394
conv-bn-relu_prior_AVGRH1.pt,14,26,77,1,1,0.407484,0.002079,0.10348466
conv-bn-relu_prior_UHP6B0.pt,8,530,12,1,1,0.407808,0.006372,0.13362101999999998
conv-bn-relu_prior_JQEB0U.pt,3,261,173,1,1,0.407934,0.045326,0.10803093999999999
conv-bn-relu_prior_CT9XWU.pt,13,69,138,1,2,0.408135,0.00966,0.30746374
conv-bn-relu_prior_K8TZZ8.pt,13,26,91,1,1,0.415233,0.002457,0.10858054
conv-bn-relu_prior_4L11YZ.pt,27,162,14,1,2,0.4158945,0.002282,0.1545265
conv-bn-relu_prior_2YLSOT.pt,8,247,106,1,2,0.420608,0.026288,0.10848819999999999
conv-bn-relu_prior_230UK6.pt,27,115,5,1,1,0.42282,0.00058,0.37630906
conv-bn-relu_prior_TMUP7A.pt,7,75,114,1,1,0.424536,0.008664,0.10704578000000002
conv-bn-relu_prior_PGYO73.pt,14,54,40,1,1,0.4312,0.0022,0.17868981999999994
conv-bn-relu_prior_TE6QHV.pt,8,55,121,1,1,0.433664,0.006776,0.10161324000000001
conv-bn-relu_prior_8YGO1P.pt,14,17,495,1,2,0.43659,0.00891,0.12710729999999995
conv-bn-relu_prior_XZWR6L.pt,8,195,35,1,1,0.43904,0.00686,0.09617411999999996
conv-bn-relu_prior_OW1LDY.pt,8,92,74,1,1,0.440448,0.006882,0.09392547999999999
conv-bn-relu_prior_RG8LWE.pt,27,17,136,1,2,0.446148,0.002448,0.1926685
conv-bn-relu_prior_8ZU40Y.pt,28,11,49,1,1,0.460992,0.000588,0.13387056
conv-bn-relu_prior_91K66A.pt,27,45,55,1,2,0.4610925,0.00253,0.14867727999999997
conv-bn-relu_prior_VAZ7KR.pt,14,14,157,1,1,0.46158,0.002355,0.11783081999999999
conv-bn-relu_prior_HXP10Q.pt,13,47,57,1,1,0.462384,0.002736,0.10713324
conv-bn-relu_prior_429M40.pt,13,188,58,1,2,0.4631445,0.010962,0.1527667
conv-bn-relu_prior_87XRWI.pt,13,10,253,1,1,0.470327,0.002783,0.15001141999999998
conv-bn-relu_prior_4YE621.pt,14,299,8,1,1,0.4704,0.0024,0.14462070000000002
conv-bn-relu_prior_X79P3Q.pt,8,117,63,1,1,0.475776,0.007434,0.1036169
conv-bn-relu_prior_72UW8W.pt,28,27,22,1,1,0.482944,0.000616,0.39182902
conv-bn-relu_prior_57RRFA.pt,14,156,63,1,2,0.484659,0.009891,0.15607249999999998
conv-bn-relu_prior_D8XJOW.pt,14,193,13,1,1,0.494312,0.002522,0.15903666
conv-bn-relu_prior_4GUQDK.pt,13,36,80,1,1,0.50024,0.00296,0.24493514000000005
conv-bn-relu_prior_RZ8M59.pt,8,262,119,1,2,0.500752,0.031297,0.10841237999999999
conv-bn-relu_prior_8UVKU9.pt,7,49,205,1,1,0.50225,0.01025,0.24105278
conv-bn-relu_prior_D4W01O.pt,1,525,959,1,1,0.504434,0.504434,0.07779574000000002
conv-bn-relu_prior_DXE2TF.pt,28,35,18,1,1,0.508032,0.000648,0.20960053999999995
conv-bn-relu_prior_F6JC4B.pt,7,41,248,1,1,0.510384,0.010416,0.10598786
conv-bn-relu_prior_99GDKC.pt,3,253,224,1,1,0.512064,0.056896,0.10855327999999996
conv-bn-relu_prior_JCT1WZ.pt,14,93,28,1,1,0.515872,0.002632,0.10596737999999999
conv-bn-relu_prior_TV89J9.pt,13,164,74,1,2,0.5158725,0.01221,0.11180630000000001
conv-bn-relu_prior_OT00FG.pt,28,101,26,1,2,0.519792,0.002652,0.15292466000000007
conv-bn-relu_prior_TNCRHW.pt,7,232,184,1,2,0.525182,0.042872,0.20961420000000003
