model_path,CIN,COUT,feature_0,feature_1,latency
fc_prior_325VUQ.pt,2157,1000,2.1575,4.315,0.27327924000000003
fc_prior_WZ7I8E.pt,2161,1000,2.1615,4.323,0.2517308
fc_prior_WTQUUX.pt,2162,1000,2.1625,4.325,0.2752083000000001
fc_prior_GKQR5A.pt,2171,1000,2.1715,4.343,0.26914408000000006
fc_prior_FG8ZLU.pt,2171,1000,2.1715,4.343,0.26307426
fc_prior_I5OFN5.pt,2173,1000,2.1735,4.347,0.26937626
fc_prior_6BZ1LQ.pt,2176,1000,2.1765,4.353,0.26852815999999996
fc_prior_5MKW04.pt,2179,1000,2.1795,4.359,0.26220469999999996
fc_prior_8H3NMT.pt,2195,1000,2.1955,4.391,0.26201912
fc_prior_CQJ2MP.pt,2196,1000,2.1965,4.393,0.23709710000000006
fc_prior_01N3K7.pt,2198,1000,2.1985,4.397,0.20721576
fc_prior_8G8UOI.pt,2204,1000,2.2045,4.409,0.27364776
fc_prior_4311QW.pt,2207,1000,2.2075,4.415,0.28096770000000004
fc_prior_0KTWYO.pt,2211,1000,2.2115,4.423,0.26219000000000003
fc_prior_SDXPZY.pt,2213,1000,2.2135,4.427,0.26794072
fc_prior_OPD99K.pt,2214,1000,2.2145,4.429,0.27842896
fc_prior_7AY89R.pt,2217,1000,2.2175,4.435,0.3690302399999999
fc_prior_9KPFT2.pt,2222,1000,2.2225,4.445,0.26363358
fc_prior_1D3FK6.pt,2222,1000,2.2225,4.445,0.2638102
fc_prior_8L01LN.pt,2224,1000,2.2245,4.449,0.22946938
fc_prior_7KSVJJ.pt,2233,1000,2.2335,4.467,0.29413588
fc_prior_C5YISE.pt,2234,1000,2.2345,4.469,0.23898584000000003
fc_prior_9OXBBB.pt,2235,1000,2.2355,4.471,0.29824280000000003
fc_prior_FK222S.pt,2236,1000,2.2365,4.473,0.25903747999999993
fc_prior_5T51DC.pt,2237,1000,2.2375,4.475,0.30864272
fc_prior_TMGXN9.pt,2243,1000,2.2435,4.487,0.29077985999999995
fc_prior_EGLWUG.pt,2247,1000,2.2475,4.495,0.20934185999999996
fc_prior_DXSMHJ.pt,2251,1000,2.2515,4.503,0.21230430000000003
fc_prior_AT7RVC.pt,2252,1000,2.2525,4.505,0.20915972000000005
fc_prior_4U0KLT.pt,2255,1000,2.2555,4.511,0.29537386
fc_prior_H53V6C.pt,2257,1000,2.2575,4.515,0.27168121999999995
fc_prior_3W63XY.pt,2260,1000,2.2605,4.521,0.27369334
fc_prior_TIM02B.pt,2261,1000,2.2615,4.523,0.33330986
fc_prior_Y24CZ9.pt,2262,1000,2.2625,4.525,0.32580626
fc_prior_KM2CGQ.pt,2264,1000,2.2645,4.529,0.2773764000000001
fc_prior_CU3UA5.pt,2265,1000,2.2655,4.531,0.28436276000000005
fc_prior_X5BBCE.pt,2270,1000,2.2705,4.541,0.30033024
fc_prior_5TUMQ8.pt,2277,1000,2.2775,4.555,0.28934826
fc_prior_PA3NEO.pt,2286,1000,2.2865,4.573,0.30934038
fc_prior_6EZXO4.pt,2286,1000,2.2865,4.573,0.27284381999999996
