feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
7,92,92,3,1,0.04508,0.00092,0.13234601999999998,0.14117057943893194,0.06667793590568086
28,471,471,3,1,3.69264,0.00471,0.26545327999999996,0.27495623052702584,0.03579895688998787
7,124,124,5,1,0.157976,0.003224,0.13813954,0.13649844578378345,0.011879974525878356
14,59,59,5,1,0.300664,0.001534,0.15195250000000005,0.1529646151729729,0.006660733933122955
7,39,39,5,1,0.049686,0.001014,0.12773398000000002,0.13454246741261297,0.05330208463411963
28,175,175,3,2,0.343,0.00175,0.15407702,0.16181460242342274,0.050218925725735955
56,495,495,3,1,15.5232,0.00495,1.8228203600000001,1.5705199955135178,0.13841208383610676
28,74,74,3,1,0.58016,0.00074,0.15897276,0.15832429348468402,0.0040791045919814865
28,161,161,5,1,3.281824,0.004186,0.19109697999999997,0.23647719442883008,0.23747216951743622
14,11,11,7,1,0.1078,0.00055,0.13469463999999992,0.21611544227027055,0.604484352683007
112,74,74,7,1,46.4128,0.0037,0.7255797199999998,1.3949190279639545,0.9224889967486342
7,40,40,3,1,0.0196,0.0004,0.14945513999999996,0.14190284001081013,0.05053221982990901
28,49,49,5,1,0.998816,0.001274,0.15833579999999997,0.31706992748468693,1.0025157133426994
112,107,107,3,2,3.35552,0.00107,0.64820126,0.46095786358520024,0.28886614076436656
14,38,38,5,1,0.193648,0.000988,0.3330143399999999,0.16744103667715535,0.49719571632514264
28,175,175,3,1,1.372,0.00175,0.34201709999999996,0.18158360535083734,0.469080331507292
56,89,89,5,1,7.256704,0.002314,0.27186666000000004,0.3085379845405413,0.13488717057303487
56,108,108,3,1,3.38688,0.00108,0.3099239200000001,0.26344315574942184,0.1499747559032495
7,185,185,3,1,0.09065,0.00185,0.5167661600000001,0.14819839038610086,0.7132196303525354
112,233,233,3,1,29.22752,0.00233,3.3666889400000004,2.82496511364863,0.16090700269784072
7,118,118,3,1,0.05782,0.00118,0.28433418,0.13777338699099115,0.5154526023181907
14,91,91,5,1,0.463736,0.002366,0.12925214000000002,0.13627958457297287,0.0543700442636606
56,485,485,3,1,15.2096,0.00485,1.4060715399999992,1.3417242391351347,0.045763888276171595
56,21,21,3,2,0.16464,0.00021,0.1338592,0.14719175676126103,0.09960134799297336
14,140,140,3,2,0.0686,0.0014,0.13731285999999998,0.1510634356963967,0.10014047989676063
112,1124,1124,5,1,366.585856,0.029224,30.068618759999996,27.72361655870282,0.07798835789613029
28,80,80,3,1,0.6272,0.0008,0.16106332,0.17846499952483952,0.1080424737602547
7,11,11,5,1,0.014014,0.000286,0.11368631999999998,0.13788762664864881,0.21287791397108147
7,178,178,3,1,0.08722,0.00178,0.12651566,0.14962870813526347,0.1826892270511292
7,54,54,3,1,0.02646,0.00054,0.13309239999999997,0.13084752440540612,0.01686704571105378
14,93,93,3,1,0.18228,0.00093,0.12412677999999996,0.15810286563652906,0.27372083313954576
56,65,65,3,1,2.0384,0.00065,0.24025153999999996,0.23391807554054153,0.026361805878365764
14,166,166,3,1,0.32536,0.00166,0.14875287999999995,0.1363346664275421,0.08348217239530319
14,76,76,3,2,0.03724,0.00076,0.3895683000000001,0.19674833062162178,0.4949580583902188
7,95,95,3,1,0.04655,0.00095,0.12726438,0.12627702101093957,0.00775832946391157
7,78,78,5,1,0.099372,0.002028,0.14877502,0.1467961552961384,0.013301054867017357
14,157,157,3,2,0.07693,0.00157,0.14975582,0.15049059053873956,0.004906457316580742
56,44,44,3,1,1.37984,0.00044,0.19614348,0.19788619981441466,0.008884923497914131
56,964,964,5,1,78.600704,0.025064,2.8634133200000007,3.7940268527882948,0.32500146810391095
112,121,121,3,1,15.17824,0.00121,1.7698060400000006,1.098164906351352,0.3794998539210818
7,73,73,3,1,0.03577,0.00073,0.13686552000000005,0.16833747943423508,0.22994804998537996
14,71,71,3,1,0.13916,0.00071,0.11730473999999999,0.12625260677200742,0.07627881679808872
112,102,102,3,1,12.79488,0.00102,1.97159194,0.7308667285486439,0.6293012191211109
112,68,68,5,1,22.177792,0.001768,1.0923163399999998,1.108672433270269,0.014973769659318037
7,467,467,5,1,0.594958,0.012142,0.14281392,0.14720113697297266,0.030719813397550085
28,472,472,3,1,3.70048,0.00472,0.23669628000000004,0.28003289393243125,0.18308954383411183
56,56,56,5,1,4.566016,0.001456,0.19528870000000004,0.22067451422973022,0.12999120906499034
112,66,66,5,1,21.525504,0.001716,0.8352758199999997,1.026015481951351,0.22835530178684132
28,1020,1020,5,1,20.79168,0.02652,0.8201301000000002,0.9089179831486455,0.10826072978987755
112,114,114,3,1,14.30016,0.00114,1.1314552200000003,0.9805147186234244,0.13340386672711257
112,12,12,3,1,1.50528,0.00012,0.18116422,0.19378310265675713,0.06965438681411344
112,472,472,7,1,296.0384,0.0236,6.70285116,9.564556502540494,0.42693851828577595
28,677,677,7,1,26.5384,0.03385,0.4456544199999999,0.784343643310811,0.7599817439504161
7,485,485,3,1,0.23765,0.00485,0.2813892599999999,0.2952048556756759,0.049097807342312845
28,21,21,3,1,0.16464,0.00021,0.12339626,0.19365635022265126,0.5693858972926025
56,56,56,5,1,4.566016,0.001456,0.20351664,0.22067451422973022,0.08430698457742927
7,155,155,5,1,0.19747,0.00403,0.14259466,0.39202367161486523,1.7492170577416097
28,470,470,7,2,4.606,0.0235,0.48108696,0.23326534958108108,0.5151285131879669
14,68,68,3,1,0.13328,0.00068,0.19273886,0.11251617829106143,0.4162247390533418
28,240,240,3,1,1.8816,0.0024,0.19706463999999996,0.20713915316756706,0.05112288621422447
28,123,123,7,2,1.2054,0.00615,0.15943334,0.18500152139819875,0.16036910095591517
14,160,160,3,1,0.3136,0.0016,0.13158136000000004,0.1326634534432434,0.00822375937779762
28,560,560,3,1,4.3904,0.0056,0.24863599999999997,0.32709110520720586,0.31554201807946514
28,96,96,3,1,0.75264,0.00096,0.22078024000000007,0.14712799342393795,0.33359981208491346
7,41,41,3,1,0.02009,0.00041,0.12432144,0.16404366064864798,0.319512230944622
14,81,81,5,1,0.412776,0.002106,0.13558076,0.1449077378328178,0.0687927832298462
112,89,89,3,1,11.16416,0.00089,0.7674974799999998,0.7871176242822394,0.025563789841029284
56,110,110,5,1,8.96896,0.00286,0.7539788800000002,0.31576707770270385,0.5811990414072291
14,1146,1146,5,1,5.840016,0.029796,0.26024856,0.29847798675675713,0.1468958243486808
7,81,81,5,1,0.103194,0.002106,0.14202346,0.1437550210665595,0.012192077749404926
14,64,64,3,1,0.12544,0.00064,0.11012851999999997,0.12769110827683386,0.15947357030525697
56,205,205,5,1,16.71488,0.00533,0.9201648399999999,0.5203324962054028,0.4345225185898183
14,60,60,7,1,0.588,0.003,0.14373038,0.14863072014864942,0.034093976156254716
14,60,60,5,1,0.30576,0.00156,0.12387638000000002,0.12445784857828474,0.00469394228572641
28,262,262,5,1,5.340608,0.006812,0.21362272000000007,0.2040973056216218,0.04458989370783351
14,480,480,5,1,2.44608,0.01248,0.16345824,0.16366697643243305,0.001277001590333095
56,73,73,7,1,11.4464,0.00365,0.3948664800000001,0.29711213908108125,0.24756302666896113
14,68,68,7,1,0.6664,0.0034,0.14968706,0.15179087297297322,0.014054741759061955
28,181,181,3,1,1.41904,0.00181,0.18932597999999992,0.21817073969099066,0.15235500004273447
28,164,164,5,1,3.342976,0.004264,0.19861184,0.3428408507513509,0.7261853611111547
14,177,177,5,1,0.901992,0.004602,0.33322188,0.15373589880501895,0.5386380426008672
112,154,154,5,1,50.226176,0.004004,2.7871961799999996,2.558622621729731,0.08200842119059902
14,233,233,5,1,1.187368,0.006058,0.16123866000000003,0.14872794655135124,0.07759127648821187
112,30,30,3,1,3.7632,0.0003,0.2556807199999999,0.2506790828899601,0.01956204249596847
56,85,85,3,1,2.6656,0.00085,0.25259214,0.24456588087271505,0.031775569609113596
14,246,246,3,1,0.48216,0.00246,0.27333168,0.1716376128557269,0.37205371563323036
7,1129,1129,3,1,0.55321,0.01129,0.15402420000000003,0.20820974589189153,0.3517989114171117
14,85,85,7,1,0.833,0.00425,0.14051964000000003,0.31677529539819876,1.2543133144818668
14,246,246,5,1,1.253616,0.006396,0.14615776,0.14543471643243222,0.00494700772348849
28,43,43,3,1,0.33712,0.00043,0.31253250000000005,0.16407060563513556,0.4750286589870316
28,62,62,5,1,1.263808,0.001612,0.14079482000000004,0.14689990869008973,0.043361600164620304
14,88,88,3,1,0.17248,0.00088,0.12899338,0.1390701285846847,0.07811833897743213
56,71,71,3,1,2.22656,0.00071,0.21501238,0.2097131700000004,0.02464606921703583
56,484,484,3,2,3.79456,0.00484,0.33720654000000005,0.8904305067567576,1.6406086511749074
14,14,14,7,1,0.1372,0.0007,0.11147017999999996,0.21383402513063074,0.9183069869505084
28,482,482,5,1,9.825088,0.012532,0.25909796,0.28236148210810713,0.08978658924256723
56,1145,1145,3,1,35.9072,0.01145,4.19215192,3.5969361900080967,0.14198333966673207
14,22,22,5,1,0.112112,0.000572,0.13497126,0.1387703601516091,0.02814747488916593
28,64,64,3,1,0.50176,0.00064,0.13868748000000003,0.14857531676306338,0.07129581389079492
7,163,163,5,2,0.0519155,0.004238,0.16603434,0.18551124558558543,0.11730648964295838
112,69,69,5,1,22.503936,0.001794,0.8638592600000001,1.0738908404594574,0.24313171159322552
14,11,11,5,1,0.056056,0.000286,0.13624843999999994,0.1412697536100385,0.036854099834380115
28,60,60,3,1,0.4704,0.0006,0.14518326,0.14199803407207276,0.021939347056452986
14,1034,1034,5,1,5.269264,0.026884,0.20796812000000006,0.23631752781081078,0.13631612292696932
28,59,59,5,1,1.202656,0.001534,0.15389306,0.18415107900038616,0.19661717689144761
14,57,57,3,1,0.11172,0.00057,0.13468749999999996,0.1407456063918918,0.04497898017181872
7,168,168,3,1,0.08232,0.00168,0.11986512000000005,0.14168209691531572,0.18201272326191026
28,167,167,5,1,3.404128,0.004342,0.19802092,0.2021331088693705,0.02076643654302035
28,168,168,3,1,1.31712,0.00168,0.16952450000000002,0.2087187004918915,0.2312008027859777
28,395,395,3,1,3.0968,0.00395,0.22967130000000005,0.22606802690090105,0.015688826157639182
14,189,189,5,1,0.963144,0.004914,0.15025668,0.15680681889189108,0.0435929962773773
7,109,109,5,2,0.0347165,0.002834,0.12600579999999997,0.17114010183783832,0.3581922565297657
28,43,43,5,1,0.876512,0.001118,0.15605404,0.16991432307207274,0.08881720122127397
28,688,688,3,1,5.39392,0.00688,0.25776400000000005,0.29421151805405266,0.14139879135198322
14,74,74,3,1,0.14504,0.00074,0.11718653999999999,0.12961010350990998,0.10601527709504853
56,73,73,5,1,5.952128,0.001898,0.24700021999999994,0.25094009056756744,0.01595087877884281
14,36,36,5,1,0.183456,0.000936,0.13132428000000002,0.1364690127568207,0.039175792601495125
14,263,263,5,1,1.340248,0.006838,0.16266378000000004,0.16067224456756718,0.012243262958925801
56,1151,1151,5,1,93.847936,0.029926,3.6405480600000018,4.39406700489549,0.20697953508008018
56,22,22,5,1,1.793792,0.000572,0.16589350000000003,0.19708857314864828,0.18804276929866598
14,114,114,7,1,1.1172,0.0057,0.12721394000000003,0.15330065833783768,0.20506179069556096
14,81,81,3,1,0.15876,0.00081,0.13260012000000002,0.13838169258056593,0.04360156371325993
7,554,554,3,1,0.27146,0.00554,0.16402458,0.20348563272072068,0.2405801174477671
112,97,97,5,1,31.635968,0.002522,1.1916578799999997,1.0784441082481373,0.09500526422219643
28,256,256,3,1,2.00704,0.00256,0.19545268000000005,0.21071480977027013,0.07808606037159521
14,72,72,5,1,0.366912,0.001872,0.12584612,0.1591362998945947,0.26453084047879033
14,77,77,7,1,0.7546,0.00385,0.13990369999999996,0.16692168069813326,0.1931184142959286
7,48,48,3,1,0.02352,0.00048,0.18613301999999993,0.1469307266486484,0.21061439475570506
7,113,113,5,1,0.143962,0.002938,0.14231159999999998,0.1455817514414419,0.022978811575738802
112,50,50,3,2,1.568,0.0005,0.26141319999999996,0.26172130966486423,0.001178630860508481
14,53,53,3,1,0.10388,0.00053,0.13982690000000003,0.1390575896445298,0.00550187664512502
14,226,226,5,1,1.151696,0.005876,0.15875796,0.19349736221949215,0.21881990811353427
56,53,53,3,1,1.66208,0.00053,0.35623071999999995,0.24028515322612698,0.32547885475422494
7,153,153,5,1,0.194922,0.003978,0.3030884799999999,0.2765677288918919,0.08750167973427425
14,77,77,3,1,0.15092,0.00077,0.12327766000000004,0.14614864412509665,0.18552415843305756
28,89,89,3,1,0.69776,0.00089,0.37661888,0.24455821972522446,0.3506480086042833
28,40,40,3,1,0.3136,0.0004,0.13084627999999995,0.22281779905360352,0.7028974691034671
56,469,469,3,1,14.70784,0.00469,1.00339678,1.173449876387393,0.1694774188804881
112,54,54,7,1,33.8688,0.0027,0.48335801999999994,0.8281377911405394,0.7133010250673807
7,68,68,3,1,0.03332,0.00068,0.4262775200000001,0.12907124438661513,0.6972131104013763
14,250,250,3,1,0.49,0.0025,0.15375123999999998,0.18922776273873915,0.23073975038340613
14,36,36,7,1,0.3528,0.0018,0.13558267999999996,0.16431797793513528,0.21193929737290437
112,78,78,5,1,25.439232,0.002028,1.0522935400000002,0.8335292443909905,0.20789284291245352
28,55,55,3,1,0.4312,0.00055,0.12931710000000002,0.1351306987416989,0.0449561484266108
7,40,40,5,1,0.05096,0.00104,0.1409126,0.13769116673513562,0.022861215142324934
14,158,158,5,1,0.805168,0.004108,0.14930083999999996,0.17860516319317896,0.1962770148726491
112,166,166,5,2,13.534976,0.004316,1.3714275799999998,1.1188413428594584,0.18417759772669984
112,232,232,5,1,75.665408,0.006032,2.4757871599999994,2.6163046097297338,0.05675667601803637
28,74,74,7,1,2.9008,0.0037,0.17430930000000003,0.18658448395045119,0.0704218532829353
14,956,956,5,1,4.871776,0.024856,0.19262769999999996,0.484059201603603,1.5129262385607216
7,81,81,3,2,0.0099225,0.00081,0.11672462000000002,0.1648994558929213,0.4127221480174557
14,24,24,5,1,0.122304,0.000624,0.14125247999999999,0.1341222309405405,0.05047875307718136
7,75,75,3,1,0.03675,0.00075,0.13190626000000003,0.24574415079459597,0.8630211393651516
56,41,41,3,1,1.28576,0.00041,0.17849378000000002,0.18830723751351328,0.05497926882109425
14,61,61,3,1,0.11956,0.00061,0.13584746,0.15690858957039894,0.15503513698672713
14,159,159,3,1,0.31164,0.00159,0.13311930000000002,0.13287910672972936,0.0018043459533716492
14,52,52,3,1,0.10192,0.00052,0.12327608000000004,0.1378161887477472,0.11794752678497858
28,90,90,5,1,1.83456,0.00234,0.17370324,0.21410953295392604,0.2326168064218378
28,86,86,3,1,0.67424,0.00086,0.15818693999999997,0.16481242640540625,0.041883902712867946
112,236,236,5,1,76.969984,0.006136,3.424910579999999,2.6349611401081123,0.23064819400099104
7,94,94,7,1,0.2303,0.0047,0.14597286,0.14303789037837794,0.020106269217593384
7,55,55,7,1,0.13475,0.00275,0.12000349999999996,0.1512259565487774,0.26017954933628984
112,100,100,3,1,12.544,0.001,1.3350623399999997,0.7665753731432394,0.42581304994099406
28,563,563,5,1,11.476192,0.014638,0.2872942399999999,0.30956098027026996,0.07750500069291344
28,198,198,3,1,1.55232,0.00198,0.4884568399999999,0.2038349980189185,0.5826959900512019
28,239,239,5,1,4.871776,0.006214,0.19929432,0.2109904759064356,0.058687853755368474
28,165,165,3,1,1.2936,0.00165,0.4327776,0.19372544996846883,0.5523671974509105
56,263,263,3,1,8.24768,0.00263,0.9545085599999998,0.7554597662162176,0.20853536796336566
14,240,240,3,1,0.4704,0.0024,0.19096887999999995,0.14338720311068234,0.24915932318039263
112,135,135,3,1,16.9344,0.00135,1.3738942600000001,1.2153007043243251,0.11543359652414226
14,178,178,5,1,0.907088,0.004628,0.15067099999999994,0.15423225760617748,0.02363598573167722
7,156,156,5,1,0.198744,0.004056,0.13784702,0.22487583765765776,0.6313434824899209
14,73,73,5,1,0.372008,0.001898,0.13193579999999996,0.16315922789459483,0.23665622139400283
14,63,63,5,1,0.321048,0.001638,0.13274898,0.13387350923063054,0.008471095074557677
14,110,110,3,1,0.2156,0.0011,0.13392976000000006,0.1672921713612614,0.249103794117613
14,250,250,3,1,0.49,0.0025,0.1510004000000001,0.18922776273873915,0.2531606720163591
112,492,492,3,1,61.71648,0.00492,8.1082296,7.105030207621606,0.12372607114855176
56,144,144,5,1,11.741184,0.003744,0.27813272000000006,0.5761032222837846,1.0713248778632896
