model_path,HW,CIN,CIN,latency
addrelu_prior_8915MV.pt,28,30,30,0.0046555000000000025
addrelu_prior_R71XRT.pt,14,73,73,0.004802
addrelu_prior_LJGTWR.pt,56,796,796,0.004550280000000001
addrelu_prior_I49NQU.pt,1,53,53,0.004594999999999999
addrelu_prior_O727QF.pt,14,841,841,0.004646679999999999
addrelu_prior_0S9SW4.pt,7,151,151,0.004589779999999999
addrelu_prior_88R6GC.pt,28,516,516,0.0045606
addrelu_prior_BK2LN7.pt,7,49,49,0.004642460000000001
addrelu_prior_EZYK4I.pt,7,162,162,0.0045832600000000005
addrelu_prior_IP9TAD.pt,3,497,497,0.004587519999999999
addrelu_prior_BCTEOW.pt,14,9,9,0.0046193799999999985
addrelu_prior_L65QV2.pt,112,238,238,0.004782039999999999
addrelu_prior_I2PXUU.pt,14,539,539,0.004682580000000002
addrelu_prior_Y9JW6F.pt,112,1161,1161,0.004723659999999999
addrelu_prior_G4V1A1.pt,7,75,75,0.00463964
addrelu_prior_8F5JDH.pt,28,113,113,0.004615739999999999
addrelu_prior_LV9UTF.pt,28,554,554,0.0045461
addrelu_prior_M3GAC6.pt,14,248,248,0.004619139999999999
addrelu_prior_CUHAGR.pt,112,1706,1706,0.004659160000000001
addrelu_prior_V3JWW3.pt,28,79,79,0.004599980000000001
addrelu_prior_Y367AW.pt,7,187,187,0.00459884
addrelu_prior_NLMT27.pt,7,270,270,0.004702420000000001
addrelu_prior_QWZCUD.pt,14,90,90,0.0046131800000000014
addrelu_prior_9RIBWM.pt,14,52,52,0.004629419999999999
addrelu_prior_06I7Y8.pt,28,63,63,0.004534479999999999
addrelu_prior_R4CL55.pt,28,983,983,0.004636899999999999
addrelu_prior_KOKWCK.pt,14,111,111,0.004627139999999999
addrelu_prior_GC9W2V.pt,56,460,460,0.0046183199999999995
addrelu_prior_AN0GXW.pt,28,173,173,0.00456418
addrelu_prior_WJMO90.pt,28,225,225,0.004666699999999999
addrelu_prior_GL9RVO.pt,28,1675,1675,0.004575360000000001
addrelu_prior_9A8XOB.pt,28,992,992,0.004700800000000001
addrelu_prior_24LB9B.pt,112,158,158,0.004661640000000001
addrelu_prior_SU9XXO.pt,14,118,118,0.004630679999999998
addrelu_prior_NSKYOQ.pt,14,188,188,0.004652940000000001
addrelu_prior_JL985X.pt,7,501,501,0.00454792
addrelu_prior_QXDKJY.pt,7,1938,1938,0.0045465
addrelu_prior_J0MNGV.pt,14,499,499,0.0046292999999999985
addrelu_prior_I4G64D.pt,56,132,132,0.004625800000000002
addrelu_prior_8IAQOB.pt,112,124,124,0.00462336
addrelu_prior_7XMHOH.pt,14,144,144,0.00461422
addrelu_prior_E7VWVM.pt,14,313,313,0.004735020000000001
addrelu_prior_2MWQ8Z.pt,28,259,259,0.0046640399999999995
addrelu_prior_T0TGN6.pt,28,1004,1004,0.00480706
addrelu_prior_4YW3CK.pt,56,815,815,0.004553799999999999
addrelu_prior_F9GV22.pt,56,415,415,0.004579759999999999
addrelu_prior_O1RDOM.pt,28,132,132,0.0046149
addrelu_prior_LZJPF2.pt,14,240,240,0.004606419999999999
addrelu_prior_JUON0H.pt,14,154,154,0.004572460000000001
addrelu_prior_DCQ1B6.pt,7,71,71,0.0046110199999999995
addrelu_prior_O7TDXS.pt,7,4,4,0.004660700000000001
addrelu_prior_YLGE3J.pt,112,887,887,0.0047265
addrelu_prior_3I6G80.pt,14,1014,1014,0.004764620000000001
addrelu_prior_MSQCSL.pt,28,1375,1375,0.0047262599999999995
addrelu_prior_8S7E9B.pt,7,826,826,0.00469606
addrelu_prior_E6GMJU.pt,28,108,108,0.004704020000000001
addrelu_prior_5RR8BK.pt,56,209,209,0.004778599999999999
addrelu_prior_POH9GD.pt,28,300,300,0.004685719999999999
addrelu_prior_F8JL4K.pt,14,513,513,0.0046773399999999994
addrelu_prior_U0BXTF.pt,14,250,250,0.00459542
addrelu_prior_KK5TBJ.pt,7,41,41,0.0047123
addrelu_prior_3P2FWO.pt,14,489,489,0.004684359999999999
addrelu_prior_BHDVY4.pt,14,197,197,0.004627639999999999
addrelu_prior_E95M0D.pt,28,803,803,0.004662739999999999
addrelu_prior_RE2ZEA.pt,56,538,538,0.00473498
addrelu_prior_QE094N.pt,14,213,213,0.004600400000000001
addrelu_prior_J3XL96.pt,7,64,64,0.004624619999999999
addrelu_prior_1NDSF8.pt,14,98,98,0.004665119999999999
addrelu_prior_3EDI3O.pt,14,823,823,0.00472288
addrelu_prior_NLIHF1.pt,56,218,218,0.00473194
addrelu_prior_YO3PNU.pt,56,182,182,0.004715180000000001
addrelu_prior_ATYQQC.pt,14,159,159,0.00464024
addrelu_prior_OWTNKY.pt,224,91,91,0.004877099999999999
addrelu_prior_7JYIE2.pt,1,530,530,0.004715439999999999
addrelu_prior_AZD40C.pt,28,30,30,0.00461702
addrelu_prior_HPZC1Q.pt,7,89,89,0.00474018
addrelu_prior_RUL3RO.pt,56,510,510,0.004687500000000001
addrelu_prior_R1YWCJ.pt,112,169,169,0.00464902
addrelu_prior_O2IFGK.pt,14,580,580,0.004645400000000001
addrelu_prior_CZ3Z1D.pt,14,132,132,0.00466404
addrelu_prior_0NMV03.pt,14,523,523,0.00464006
addrelu_prior_K6R8XH.pt,56,258,258,0.004634479999999999
addrelu_prior_R9YRKI.pt,14,210,210,0.0046128
addrelu_prior_3EQICS.pt,14,161,161,0.004608620000000001
addrelu_prior_9EYXFI.pt,7,1804,1804,0.00460262
addrelu_prior_3JWBXH.pt,28,174,174,0.0046114400000000005
addrelu_prior_YSHFYA.pt,7,268,268,0.004618420000000001
addrelu_prior_9A46HX.pt,56,57,57,0.004731579999999998
addrelu_prior_8CO72G.pt,56,525,525,0.0046750399999999975
addrelu_prior_LYF9NR.pt,56,659,659,0.0046568
addrelu_prior_0FYFGY.pt,28,205,205,0.004663959999999999
addrelu_prior_CC5S3D.pt,28,152,152,0.004568340000000001
addrelu_prior_AH1FCB.pt,56,191,191,0.00469496
addrelu_prior_4TYZIC.pt,28,1174,1174,0.00468262
addrelu_prior_79R2PF.pt,7,156,156,0.0046325199999999985
addrelu_prior_LULFZD.pt,28,179,179,0.004621140000000001
addrelu_prior_4KB12Y.pt,14,77,77,0.0046509
addrelu_prior_MUPVBO.pt,56,216,216,0.004711239999999999
addrelu_prior_UJJTBI.pt,28,173,173,0.004663240000000001
addrelu_prior_IFZ7I3.pt,14,54,54,0.004545499999999999
addrelu_prior_0MPR8J.pt,14,267,267,0.00458982
addrelu_prior_C03BUO.pt,56,512,512,0.004668739999999999
addrelu_prior_FPJXCC.pt,7,490,490,0.00462142
addrelu_prior_SO3DMO.pt,14,174,174,0.00458638
addrelu_prior_V13V13.pt,28,112,112,0.0046540999999999996
addrelu_prior_JBTA32.pt,7,426,426,0.004586379999999998
addrelu_prior_KUZNQI.pt,14,67,67,0.004616379999999999
addrelu_prior_0G8ZWG.pt,112,512,512,0.0047256799999999995
addrelu_prior_FPENAT.pt,56,253,253,0.004925060000000001
addrelu_prior_2OD3YR.pt,7,515,515,0.0048143199999999995
addrelu_prior_EKUYM3.pt,28,73,73,0.00463128
addrelu_prior_PKWR63.pt,14,1228,1228,0.00465034
addrelu_prior_C224PP.pt,14,201,201,0.00460324
addrelu_prior_WR1HNT.pt,14,537,537,0.004652139999999998
addrelu_prior_MP2G4Y.pt,7,173,173,0.004570140000000001
addrelu_prior_2L54D8.pt,1,193,193,0.004630080000000001
addrelu_prior_LBZUPM.pt,7,161,161,0.004619
addrelu_prior_HKMRSW.pt,224,985,985,0.004613240000000001
addrelu_prior_A2AUT0.pt,56,376,376,0.004621840000000001
addrelu_prior_GHCI1A.pt,7,1294,1294,0.00460002
addrelu_prior_LHAXLF.pt,112,102,102,0.004631520000000001
addrelu_prior_PUDQ83.pt,14,14,14,0.00459262
addrelu_prior_JCHRQM.pt,14,210,210,0.004601660000000001
addrelu_prior_80KD8B.pt,14,215,215,0.00463758
addrelu_prior_UUGEHU.pt,14,13,13,0.004635580000000001
addrelu_prior_4ZB8KG.pt,28,44,44,0.004585119999999999
addrelu_prior_A9LL3E.pt,112,71,71,0.004644800000000001
addrelu_prior_WPNAF6.pt,112,863,863,0.004619980000000001
addrelu_prior_7S95ED.pt,14,161,161,0.0046026
addrelu_prior_178UPE.pt,14,166,166,0.0045432400000000005
addrelu_prior_FHVRG2.pt,7,164,164,0.004683079999999999
addrelu_prior_1EPQCQ.pt,28,74,74,0.004619960000000001
addrelu_prior_XCC90K.pt,28,9,9,0.0046117400000000005
addrelu_prior_HT5DFP.pt,28,186,186,0.004614640000000001
addrelu_prior_GX3VZH.pt,56,93,93,0.004570060000000002
addrelu_prior_ZKU5V0.pt,28,124,124,0.004591080000000001
addrelu_prior_5NG16O.pt,28,971,971,0.0047773400000000014
addrelu_prior_G91PYM.pt,14,106,106,0.004582180000000001
addrelu_prior_214XIK.pt,14,11,11,0.00457836
addrelu_prior_ZB49QI.pt,14,27,27,0.004627059999999999
addrelu_prior_RVKE2L.pt,14,390,390,0.0046001
addrelu_prior_ZUPRJJ.pt,28,247,247,0.00468124
addrelu_prior_PS4RTO.pt,28,93,93,0.0045918800000000004
addrelu_prior_SDWKUA.pt,28,245,245,0.00466028
addrelu_prior_XYY4LB.pt,56,153,153,0.00465386
addrelu_prior_H3GLXB.pt,3,9,9,0.00462142
addrelu_prior_AQBQ04.pt,7,42,42,0.0046202
addrelu_prior_NNAWTL.pt,112,202,202,0.005035200000000001
addrelu_prior_QG67BY.pt,112,54,54,0.00470538
addrelu_prior_5ZGNTW.pt,14,505,505,0.00459014
addrelu_prior_PY39RS.pt,14,71,71,0.004589459999999999
addrelu_prior_KQ21Z2.pt,28,25,25,0.00462322
addrelu_prior_RWL4DG.pt,56,20,20,0.00464684
addrelu_prior_ZF03AO.pt,7,2066,2066,0.004606
addrelu_prior_GV0AY4.pt,56,501,501,0.0046774600000000005
addrelu_prior_DSNDUJ.pt,56,69,69,0.004689699999999999
addrelu_prior_0CXTVH.pt,14,34,34,0.004633560000000001
addrelu_prior_ZAYPKS.pt,28,986,986,0.004624260000000001
addrelu_prior_Y5D712.pt,14,86,86,0.004642599999999999
addrelu_prior_JQXFY5.pt,14,37,37,0.004632239999999999
addrelu_prior_9PMD91.pt,112,854,854,0.004747759999999999
addrelu_prior_ET3VSD.pt,56,811,811,0.004540139999999998
addrelu_prior_Y8URKK.pt,112,131,131,0.004644899999999999
addrelu_prior_2ROZNO.pt,112,29,29,0.004594040000000001
addrelu_prior_ZWQFU0.pt,112,451,451,0.00455076
addrelu_prior_0O02EC.pt,56,137,137,0.004557999999999998
addrelu_prior_K8VQLX.pt,56,90,90,0.004602419999999999
addrelu_prior_T62NL8.pt,7,33,33,0.00461532
addrelu_prior_CG3DED.pt,1,677,677,0.0047830799999999995
addrelu_prior_3NFUI2.pt,14,1455,1455,0.004642459999999999
addrelu_prior_WIZBIK.pt,14,16,16,0.0046803
addrelu_prior_4OJAKH.pt,112,193,193,0.004687660000000001
addrelu_prior_FL7EZQ.pt,14,16,16,0.004635799999999999
addrelu_prior_16Q2H9.pt,28,1162,1162,0.004689780000000001
addrelu_prior_S2P186.pt,56,40,40,0.0046983
addrelu_prior_9GVDLQ.pt,7,183,183,0.00463738
addrelu_prior_AEGTV5.pt,28,62,62,0.00466898
addrelu_prior_0BE424.pt,28,42,42,0.004622560000000001
addrelu_prior_FQVBGD.pt,14,9,9,0.00468594
addrelu_prior_CYKVEA.pt,112,772,772,0.004639399999999999
addrelu_prior_2BR17A.pt,28,82,82,0.004955300000000002
addrelu_prior_ETD7EO.pt,224,384,384,0.00470958
addrelu_prior_7OOB5X.pt,28,495,495,0.004630939999999999
