model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_prior_1J1ARW.pt,8,178,30,1,2,0.08592,0.00537,0.02396722
conv-bn-relu_prior_D75EVT.pt,14,56,31,1,2,0.086583,0.001767,0.02405344
conv-bn-relu_prior_WC1UUY.pt,28,6,16,1,1,0.087808,0.000112,0.024353740000000002
conv-bn-relu_prior_M4WMSC.pt,13,17,117,1,2,0.0889785,0.002106,0.032625380000000016
conv-bn-relu_prior_X54RXE.pt,13,132,4,1,1,0.089908,0.000532,0.024033520000000003
conv-bn-relu_prior_SASJRL.pt,14,21,21,1,1,0.090552,0.000462,0.023809280000000002
conv-bn-relu_prior_9ZMMU4.pt,27,125,4,1,2,0.091854,0.000504,0.02410084
conv-bn-relu_prior_UGFV83.pt,3,234,178,1,2,0.0941175,0.04183,0.024062560000000004
conv-bn-relu_prior_UWRB3X.pt,14,51,37,1,2,0.094276,0.001924,0.023780539999999996
conv-bn-relu_prior_DCVVDR.pt,1,175,66,3,1,0.104016,0.104016,0.03280162
conv-bn-relu_prior_BXGLW4.pt,8,41,39,1,1,0.104832,0.001638,0.024046459999999995
conv-bn-relu_prior_7S9VJP.pt,7,118,18,1,1,0.104958,0.002142,0.02510123999999999
conv-bn-relu_prior_1AEZLP.pt,3,82,142,1,1,0.106074,0.011786,0.02544866
conv-bn-relu_prior_O19GM1.pt,14,4,59,3,2,0.106967,0.002183,0.026241760000000003
conv-bn-relu_prior_Z2QWKM.pt,1,146,82,3,1,0.10783,0.10783,0.03370074
conv-bn-relu_prior_W2H5WU.pt,13,388,7,1,2,0.11504675,0.002723,0.032730659999999995
conv-bn-relu_prior_WTJVD5.pt,14,4,119,1,1,0.11662,0.000595,0.023634899999999993
conv-bn-relu_prior_LVT12C.pt,13,39,18,1,1,0.12168,0.00072,0.024127160000000005
conv-bn-relu_prior_DW0A5I.pt,1,242,503,1,1,0.122229,0.122229,0.0238764
conv-bn-relu_prior_QXQ29V.pt,14,38,16,1,1,0.122304,0.000624,0.02450774
conv-bn-relu_prior_847RWH.pt,28,62,10,1,2,0.12348,0.00063,0.02374908000000001
conv-bn-relu_prior_IFNSXQ.pt,7,126,20,1,1,0.12446,0.00254,0.024645939999999998
conv-bn-relu_prior_HN48E4.pt,14,45,14,1,1,0.126224,0.000644,0.02427832000000001
conv-bn-relu_prior_Z026F6.pt,13,151,5,1,1,0.12844,0.00076,0.024115659999999997
conv-bn-relu_prior_UXCLA6.pt,8,16,478,1,2,0.130016,0.008126,0.023992819999999998
conv-bn-relu_prior_TFL1IT.pt,1,41,127,5,1,0.130302,0.130302,0.03215356
conv-bn-relu_prior_MPNZEU.pt,8,9,205,1,1,0.1312,0.00205,0.02476028
conv-bn-relu_prior_S5MTPL.pt,7,54,49,1,1,0.132055,0.002695,0.024756
conv-bn-relu_prior_NYUE43.pt,27,3,46,1,1,0.134136,0.000184,0.023705319999999995
conv-bn-relu_prior_QEHLWW.pt,14,3,175,1,1,0.1372,0.0007,0.023944239999999995
conv-bn-relu_prior_EERFN4.pt,13,15,6,3,1,0.137904,0.000816,0.023303399999999995
conv-bn-relu_prior_ST0MN7.pt,8,48,5,3,1,0.13856,0.002165,0.032541219999999996
conv-bn-relu_prior_UXFXV4.pt,13,12,64,1,1,0.140608,0.000832,0.023806719999999993
conv-bn-relu_prior_8NLTQO.pt,7,15,180,1,1,0.14112,0.00288,0.024517219999999996
conv-bn-relu_prior_MDEHZA.pt,3,49,36,3,1,0.143208,0.015912,0.02995730000000001
conv-bn-relu_prior_GDLGYK.pt,7,20,141,1,1,0.145089,0.002961,0.02417162
conv-bn-relu_prior_MGCOTB.pt,27,6,114,1,2,0.1454355,0.000798,0.023806359999999995
conv-bn-relu_prior_THNTVU.pt,8,96,24,1,1,0.148992,0.002328,0.02371886000000001
conv-bn-relu_prior_OD78EU.pt,28,152,5,1,2,0.14994,0.000765,0.023679000000000002
conv-bn-relu_prior_7SSVLN.pt,14,191,4,1,1,0.150528,0.000768,0.02455206
conv-bn-relu_prior_DIFVL0.pt,3,666,26,1,1,0.156078,0.017342,0.02558625999999999
conv-bn-relu_prior_6N1YCR.pt,13,185,5,1,1,0.15717,0.00093,0.024389339999999995
conv-bn-relu_prior_2FR878.pt,7,258,50,1,2,0.1586375,0.01295,0.03282488
conv-bn-relu_prior_NTBSJZ.pt,1,27,121,7,1,0.160204,0.160204,0.023435919999999992
conv-bn-relu_prior_VYUVWH.pt,3,95,187,1,1,0.161568,0.017952,0.02509532
conv-bn-relu_prior_3EJS6M.pt,14,80,41,1,2,0.162729,0.003321,0.024013419999999997
conv-bn-relu_prior_BVOV0R.pt,27,15,14,1,1,0.163296,0.000224,0.0244972
conv-bn-relu_prior_KFECNA.pt,3,116,156,1,1,0.164268,0.018252,0.02473095999999999
conv-bn-relu_prior_M4RTXV.pt,8,168,63,1,2,0.170352,0.010647,0.023943859999999994
conv-bn-relu_prior_TMJU7M.pt,3,154,123,1,1,0.171585,0.019065,0.024517440000000005
conv-bn-relu_prior_EYKGKT.pt,27,120,8,1,2,0.176418,0.000968,0.023917399999999995
conv-bn-relu_prior_AJWWWY.pt,27,40,6,1,1,0.179334,0.000246,0.02458949999999999
conv-bn-relu_prior_255POW.pt,14,152,6,1,1,0.179928,0.000918,0.024537460000000007
