model_path,CIN,COUT,feature_0,feature_1,latency
fc_prior_VNNPOT.pt,1059,1000,1.0595,2.119,0.05798047999999999
fc_prior_KTQH7I.pt,1066,1000,1.0665,2.133,0.05919042000000002
fc_prior_IUTRQ4.pt,1067,1000,1.0675,2.135,0.06146031999999999
fc_prior_LOALTE.pt,1067,1000,1.0675,2.135,0.059088939999999986
fc_prior_EDLNU2.pt,1074,1000,1.0745,2.149,0.05968750000000002
fc_prior_12FO1H.pt,1075,1000,1.0755,2.151,0.06011173999999999
fc_prior_QRX9VM.pt,1075,1000,1.0755,2.151,0.05890909999999999
fc_prior_WXLQNS.pt,1078,1000,1.0785,2.157,0.060020359999999995
fc_prior_G59435.pt,1080,1000,1.0805,2.161,0.05958843999999999
fc_prior_PP6EVK.pt,1082,1000,1.0825,2.165,0.0599141
fc_prior_VFEM3L.pt,1086,1000,1.0865,2.173,0.05821312000000001
fc_prior_67G9LX.pt,1087,1000,1.0875,2.175,0.05896238
fc_prior_0XB54R.pt,1089,1000,1.0895,2.179,0.06062050000000001
fc_prior_OPR1S4.pt,1090,1000,1.0905,2.181,0.05870107999999999
fc_prior_J8Z383.pt,1092,1000,1.0925,2.185,0.05888278
fc_prior_BODYHQ.pt,1095,1000,1.0955,2.191,0.05905176000000001
fc_prior_G5MR0O.pt,1096,1000,1.0965,2.193,0.05971564000000001
fc_prior_55MUCX.pt,1101,1000,1.1015,2.203,0.05992515999999998
fc_prior_7FBF64.pt,1106,1000,1.1065,2.213,0.05788984000000001
fc_prior_SZ4GGA.pt,1106,1000,1.1065,2.213,0.05848814000000001
fc_prior_I7A34S.pt,1106,1000,1.1065,2.213,0.05885500000000001
fc_prior_9ZIZ5P.pt,1108,1000,1.1085,2.217,0.059160519999999994
fc_prior_KCXY4F.pt,1111,1000,1.1115,2.223,0.05878481999999999
fc_prior_X3TKCX.pt,1111,1000,1.1115,2.223,0.05966011999999999
fc_prior_5QQUDU.pt,1126,1000,1.1265,2.253,0.05954341999999999
fc_prior_OUI0JC.pt,1128,1000,1.1285,2.257,0.05763616
fc_prior_4Z6RPH.pt,1129,1000,1.1295,2.259,0.058995059999999995
fc_prior_OEP0V1.pt,1135,1000,1.1355,2.271,0.05965796000000003
fc_prior_ZOQK7S.pt,1149,1000,1.1495,2.299,0.05988548000000002
fc_prior_5PWEMI.pt,1158,1000,1.1585,2.317,0.05800543999999999
fc_prior_RPIYBO.pt,1163,1000,1.1635,2.327,0.05832252
fc_prior_L95QNC.pt,1166,1000,1.1665,2.333,0.059330300000000016
fc_prior_M2IWJ3.pt,1167,1000,1.1675,2.335,0.05936784000000002
fc_prior_WVU6XF.pt,1182,1000,1.1825,2.365,0.058262160000000014
fc_prior_YAJ39O.pt,1206,1000,1.2065,2.413,0.05785819999999999
fc_prior_SBQVJS.pt,1213,1000,1.2135,2.427,0.0577807
fc_prior_O3VG0W.pt,1213,1000,1.2135,2.427,0.05951926000000001
fc_prior_G2S9OI.pt,1237,1000,1.2375,2.475,0.05942339999999999
fc_prior_X9O3BV.pt,1243,1000,1.2435,2.487,0.05716753999999998
fc_prior_1R7569.pt,1247,1000,1.2475,2.495,0.06053968000000001
fc_prior_PXWGRD.pt,1247,1000,1.2475,2.495,0.05979421999999998
fc_prior_3Q9VVX.pt,1249,1000,1.2495,2.499,0.0592741
fc_prior_X27P8N.pt,1270,1000,1.2705,2.541,0.059273240000000026
fc_prior_AKJEGH.pt,1270,1000,1.2705,2.541,0.06023684
fc_prior_0FCLIP.pt,1274,1000,1.2745,2.549,0.059405799999999995
fc_prior_PG9C5M.pt,1278,1000,1.2785,2.557,0.05932386000000001
