model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_prior_M0TEIF.pt,7,18,18,5,1,0.022932,0.000468,0.019755579999999995
dwconv-bn-relu_prior_73M4UH.pt,14,18,18,5,2,0.022932,0.000468,0.019819459999999997
dwconv-bn-relu_prior_L98T32.pt,7,47,47,3,1,0.02303,0.00047,0.019701820000000005
dwconv-bn-relu_prior_64NUAG.pt,7,73,73,5,2,0.0232505,0.001898,0.020035320000000002
dwconv-bn-relu_prior_18O1IJ.pt,28,12,12,3,2,0.02352,0.00012,0.01965978
dwconv-bn-relu_prior_C467UN.pt,14,12,12,3,1,0.02352,0.00012,0.019859720000000008
dwconv-bn-relu_prior_O886HE.pt,14,12,12,3,1,0.02352,0.00012,0.01955552
dwconv-bn-relu_prior_GKZ3NK.pt,14,12,12,3,1,0.02352,0.00012,0.01972436
dwconv-bn-relu_prior_U0EWCG.pt,7,48,48,3,1,0.02352,0.00048,0.01953408
dwconv-bn-relu_prior_UEXF66.pt,7,48,48,3,1,0.02352,0.00048,0.0196597
dwconv-bn-relu_prior_XRNO8E.pt,14,49,49,3,2,0.02401,0.00049,0.019853000000000003
dwconv-bn-relu_prior_38OSOY.pt,7,49,49,3,1,0.02401,0.00049,0.019716360000000002
dwconv-bn-relu_prior_P4GUKD.pt,14,49,49,3,2,0.02401,0.00049,0.01982256
dwconv-bn-relu_prior_AMTDT6.pt,7,197,197,3,2,0.0241325,0.00197,0.019910019999999994
dwconv-bn-relu_prior_VOK5MM.pt,7,50,50,3,1,0.0245,0.0005,0.01959018
dwconv-bn-relu_prior_6EW62H.pt,7,50,50,3,1,0.0245,0.0005,0.01998494
dwconv-bn-relu_prior_TRR12D.pt,7,50,50,3,1,0.0245,0.0005,0.01978882
dwconv-bn-relu_prior_ZJYKKI.pt,7,50,50,3,1,0.0245,0.0005,0.020981859999999998
dwconv-bn-relu_prior_JNMQIU.pt,7,51,51,3,1,0.02499,0.00051,0.020001639999999998
dwconv-bn-relu_prior_O6X84F.pt,7,51,51,3,1,0.02499,0.00051,0.019658460000000003
dwconv-bn-relu_prior_WUAWKX.pt,7,51,51,3,1,0.02499,0.00051,0.019828360000000003
dwconv-bn-relu_prior_O1UDFR.pt,7,51,51,3,1,0.02499,0.00051,0.019656899999999998
dwconv-bn-relu_prior_X2YROD.pt,7,51,51,3,1,0.02499,0.00051,0.0196739
dwconv-bn-relu_prior_25GYRZ.pt,14,13,13,3,1,0.02548,0.00013,0.020000679999999996
dwconv-bn-relu_prior_OR490C.pt,14,13,13,3,1,0.02548,0.00013,0.019800960000000003
dwconv-bn-relu_prior_2WVHSP.pt,14,13,13,3,1,0.02548,0.00013,0.019718059999999996
dwconv-bn-relu_prior_PJRQM1.pt,14,13,13,3,1,0.02548,0.00013,0.019818679999999998
dwconv-bn-relu_prior_TZQ6MG.pt,14,13,13,3,1,0.02548,0.00013,0.019515440000000005
dwconv-bn-relu_prior_HN9TVW.pt,7,52,52,3,1,0.02548,0.00052,0.019784879999999998
dwconv-bn-relu_prior_YGIZI8.pt,7,52,52,3,1,0.02548,0.00052,0.019579859999999994
dwconv-bn-relu_prior_419G7L.pt,7,52,52,3,1,0.02548,0.00052,0.019767439999999994
dwconv-bn-relu_prior_JGIDJF.pt,7,52,52,3,1,0.02548,0.00052,0.019860020000000006
dwconv-bn-relu_prior_2K7VDG.pt,7,52,52,3,1,0.02548,0.00052,0.01979136
dwconv-bn-relu_prior_UJH6JC.pt,7,52,52,3,1,0.02548,0.00052,0.019970520000000002
dwconv-bn-relu_prior_AAFWPR.pt,7,52,52,3,1,0.02548,0.00052,0.01963962
dwconv-bn-relu_prior_DMLBTE.pt,14,53,53,3,2,0.02597,0.00053,0.01960932
dwconv-bn-relu_prior_PH2CZX.pt,14,53,53,3,2,0.02597,0.00053,0.01957504
dwconv-bn-relu_prior_8SCU8O.pt,14,53,53,3,2,0.02597,0.00053,0.01980718
dwconv-bn-relu_prior_ZDVDWB.pt,7,53,53,3,1,0.02597,0.00053,0.019682620000000005
dwconv-bn-relu_prior_BVKOME.pt,7,53,53,3,1,0.02597,0.00053,0.01957204
dwconv-bn-relu_prior_YYJG7Q.pt,7,53,53,3,1,0.02597,0.00053,0.01970586
